id_imovel,preco,tipo,area,quartos,bairro
594,1100,1,51,2,2
754,1200,1,60,2,3
630,1100,2,25,1,2
1259,1700,1,57,2,6
903,1300,1,40,2,4
1175,1600,1,60,2,6
762,1200,1,50,1,3
1372,1900,3,42,1,9
259,900,2,28,1,1
316,941,1,35,1,1
705,1150,1,30,1,3
906,1300,1,50,2,4
274,900,2,20,1,1
361,950,2,32,1,1
743,1200,1,59,2,3
898,1300,1,51,2,4
303,900,2,28,1,1
44,800,2,34,1,1
1091,1500,1,55,2,5
1334,1800,2,34,1,8
277,900,1,33,1,1
163,850,2,26,1,1
1291,1750,1,63,1,8
561,1090,1,30,1,2
1157,1600,4,65,4,6
78,800,1,37,1,1
764,1200,1,40,1,3
1100,1500,3,29,1,5
70,800,2,24,1,1
344,950,2,30,1,1
1219,1600,1,30,1,6
940,1300,2,25,1,4
1281,1700,1,51,1,8
820,1200,1,31,1,3
886,1300,1,55,2,4
1229,1600,3,26,1,6
752,1200,1,48,2,3
814,1200,1,33,1,3
67,800,2,27,1,1
664,1100,1,40,1,2
922,1300,1,26,1,4
874,1270,2,46,1,4
1242,1650,2,38,1,6
1075,1500,1,60,2,5
1279,1700,1,45,1,8
123,850,1,40,2,1
802,1200,1,42,1,3
806,1200,1,40,1,3
970,1350,4,74,2,4
358,950,2,35,1,1
342,950,1,30,1,1
1325,1800,1,32,1,8
51,800,2,30,1,1
29,800,1,60,2,1
1103,1500,3,28,1,5
1170,1600,1,44,2,6
481,1000,2,35,1,2
461,1000,1,30,1,2
76,800,1,50,1,1
49,800,2,30,1,1
208,890,2,30,1,1
619,1100,2,28,1,2
1155,1590,1,69,2,6
218,900,4,70,2,1
261,900,2,27,1,1
700,1150,1,26,1,3
237,900,1,55,2,1
1101,1500,1,28,1,5
651,1100,2,27,1,2
1022,1400,1,45,1,4
15,800,1,50,2,1
413,1000,1,60,2,1
346,950,2,29,1,1
1339,1800,1,27,1,8
168,850,2,25,1,1
231,900,1,70,2,1
1195,1600,3,30,1,6
1102,1500,2,28,1,5
999,1400,1,80,3,4
1398,2000,1,83,2,10
765,1200,1,40,1,3
695,1150,2,34,1,3
411,1000,1,62,2,1
497,1000,2,25,1,2
1391,1990,3,46,1,10
1190,1600,1,32,1,6
917,1300,1,33,1,4
289,900,2,26,1,1
808,1200,1,39,1,3
464,1000,2,30,1,2
1092,1500,1,45,2,5
1133,1500,1,34,1,5
892,1300,1,52,2,4
888,1300,1,60,2,4
558,1080,2,27,1,2
736,1200,1,55,2,3
115,850,1,60,3,1
1246,1689,2,26,1,6
374,950,1,32,1,1
669,1100,1,34,1,3
1041,1400,1,32,1,5
1401,2000,1,60,2,10
477,1000,2,25,1,2
101,800,1,35,1,1
1419,2000,3,32,1,11
1139,1500,2,32,1,5
43,800,2,35,1,1
1418,2000,1,32,1,11
1386,1950,1,26,1,10
707,1150,2,28,1,3
522,1000,2,33,1,2
192,850,1,35,1,1
986,1350,2,25,1,4
363,950,2,30,1,1
787,1200,1,30,1,3
724,1200,4,70,3,3
1167,1600,1,60,2,6
339,950,2,33,1,1
585,1100,1,50,2,2
244,900,1,50,2,1
1119,1500,1,44,1,5
1188,1600,1,36,1,6
909,1300,1,80,2,4
65,800,2,30,1,1
306,900,2,30,1,1
628,1100,2,25,1,2
377,950,1,35,1,1
617,1100,1,28,1,2
1193,1600,1,30,1,6
203,850,1,36,1,1
425,1000,1,50,2,1
32,800,1,60,2,1
926,1300,2,30,1,4
382,960,1,58,3,1
1253,1700,1,65,2,6
1387,1962,2,45,1,10
1018,1400,1,50,2,4
1024,1400,1,31,1,4
1322,1800,3,23,1,8
605,1100,2,35,1,2
554,1050,1,33,1,2
915,1300,1,36,1,4
220,900,1,65,2,1
1228,1600,1,28,1,6
535,1020,1,45,2,2
1032,1400,2,25,1,5
1087,1500,4,60,2,5
1318,1800,1,28,1,8
620,1100,2,28,1,2
597,1100,1,90,2,2
858,1250,2,30,1,4
63,800,2,33,1,1
613,1100,2,30,1,2
1415,2000,1,37,1,11
532,1000,1,36,1,2
989,1350,1,45,1,4
666,1100,1,35,1,3
240,900,1,50,2,1
785,1200,2,35,1,3
184,850,2,60,1,1
493,1000,2,29,1,2
30,800,1,60,2,1
56,800,2,27,1,1
1172,1600,1,55,2,6
783,1200,2,25,1,3
354,950,2,25,1,1
1305,1800,1,54,2,8
271,900,2,25,1,1
1118,1500,1,50,1,5
777,1200,1,30,1,3
844,1200,2,40,1,4
247,900,2,38,1,1
792,1200,2,27,1,3
