preco,tipo,area,quartos,bairro
800,1,80,3,1
800,1,50,2,1
800,1,72,2,1
800,1,60,2,1
800,1,58,2,1
800,1,50,2,1
800,1,50,2,1
800,1,50,2,1
800,1,45,2,1
800,1,58,2,1
800,1,52,2,1
800,4,90,2,1
800,1,57,2,1
800,1,60,2,1
800,1,60,2,1
800,1,60,2,1
800,1,75,2,1
800,1,50,2,1
800,4,70,2,1
800,1,50,2,1
800,2,48,1,1
800,2,35,1,1
800,1,32,1,1
800,2,31,1,1
800,2,30,1,1
800,2,30,1,1
800,2,28,1,1
800,2,27,1,1
800,2,25,1,1
800,2,25,1,1
800,2,25,1,1
800,2,33,1,1
800,2,30,1,1
800,2,27,1,1
800,2,25,1,1
800,2,23,1,1
800,2,25,1,1
800,1,33,1,1
800,2,45,1,1
800,1,37,1,1
800,1,34,1,1
800,2,33,1,1
800,2,30,1,1
800,1,24,1,1
800,1,36,1,1
800,1,30,1,1
800,1,30,1,1
800,1,30,1,1
800,1,30,1,1
800,1,40,1,1
800,1,35,1,1
800,2,40,1,1
800,1,56,1,1
815,1,35,1,1
820,1,33,1,1
840,1,52,2,1
850,1,65,3,1
850,1,60,3,1
850,1,70,2,1
850,1,60,2,1
850,1,45,2,1
850,1,40,2,1
850,1,60,2,1
850,1,55,2,1
850,1,50,2,1
850,1,50,2,1
850,1,50,2,1
850,1,55,2,1
850,1,60,2,1
850,2,41,1,1
850,2,38,1,1
850,1,35,1,1
850,1,30,1,1
850,1,30,1,1
850,1,30,1,1
850,2,30,1,1
850,2,30,1,1
850,1,29,1,1
850,2,28,1,1
850,2,27,1,1
850,2,26,1,1
850,2,26,1,1
850,2,26,1,1
850,2,25,1,1
850,2,21,1,1
850,2,35,1,1
850,1,32,1,1
850,1,29,1,1
850,2,28,1,1
850,2,27,1,1
850,2,25,1,1
850,2,25,1,1
850,2,27,1,1
850,2,30,1,1
850,2,38,1,1
850,1,35,1,1
850,1,30,1,1
850,1,37,1,1
850,1,30,1,1
850,1,50,1,1
850,1,42,1,1
850,1,36,1,1
850,4,48,1,1
890,2,25,1,1
890,2,25,1,1
900,1,65,3,1
900,4,80,3,1
900,1,71,2,1
900,4,70,2,1
900,1,65,2,1
900,1,60,2,1
900,1,60,2,1
900,1,45,2,1
900,1,50,2,1
900,1,45,2,1
900,1,70,2,1
900,1,58,2,1
900,1,42,2,1
900,1,55,2,1
900,1,60,2,1
900,1,43,2,1
900,1,44,2,1
900,4,60,2,1
900,2,38,1,1
900,2,36,1,1
900,2,30,1,1
900,2,30,1,1
900,2,29,1,1
900,2,28,1,1
900,2,28,1,1
900,2,27,1,1
900,2,27,1,1
900,2,25,1,1
900,2,25,1,1
900,2,25,1,1
900,2,25,1,1
900,2,25,1,1
900,2,40,1,1
900,1,33,1,1
900,2,30,1,1
900,2,30,1,1
900,2,30,1,1
900,1,29,1,1
900,2,28,1,1
900,2,26,1,1
900,2,25,1,1
900,2,24,1,1
900,2,26,1,1
900,2,25,1,1
900,1,35,1,1
900,2,33,1,1
900,2,28,1,1
900,2,30,1,1
900,1,30,1,1
900,2,32,1,1
900,1,54,1,1
920,1,39,1,1
930,2,28,1,1
950,1,80,3,1
950,1,63,2,1
950,1,55,2,1
950,1,44,2,1
950,1,90,2,1
950,1,64,2,1
950,1,60,2,1
950,1,55,2,1
950,1,49,2,1
950,1,60,2,1
950,1,42,1,1
950,2,33,1,1
950,2,32,1,1
950,2,30,1,1
950,2,30,1,1
950,2,28,1,1
950,2,27,1,1
950,2,26,1,1
950,2,25,1,1
950,2,25,1,1
950,2,37,1,1
950,1,34,1,1
950,2,32,1,1
950,2,30,1,1
950,2,25,1,1
950,1,38,1,1
950,2,30,1,1
950,2,30,1,1
950,2,35,1,1
950,2,30,1,1
950,1,35,1,1
950,2,30,1,1
955,2,30,1,1
960,1,55,1,1
980,1,47,2,1
980,1,49,1,1
980,2,30,1,1
980,2,26,1,1
980,2,24,1,1
980,1,32,1,1
990,4,60,2,1
990,2,38,1,1
990,2,30,1,1
990,1,34,1,1
1000,1,80,3,1
1000,1,60,3,1
1000,1,75,2,1
1000,1,62,2,1
1000,1,60,2,1
1000,1,54,2,1
1000,4,50,2,1
1000,1,65,2,1
1000,1,52,2,1
1000,1,60,2,1
1000,1,50,2,1
1000,1,53,2,1
1000,2,50,2,1
1000,1,70,2,1
1000,1,60,2,1
1000,1,45,2,1
1000,1,75,2,1
1000,1,60,2,1
1000,1,70,2,1
1000,1,45,1,1
1000,2,45,1,1
1000,1,40,1,1
1000,1,35,1,1
1000,1,35,1,1
1000,2,35,1,1
1000,1,32,1,1
1000,2,32,1,2
1000,1,30,1,2
1000,1,30,1,2
1000,2,30,1,2
1000,2,30,1,2
1000,2,30,1,2
1000,2,30,1,2
1000,2,28,1,2
1000,2,27,1,2
1000,2,25,1,2
1000,2,25,1,2
1000,2,38,1,2
1000,2,35,1,2
1000,2,32,1,2
1000,1,30,1,2
1000,2,30,1,2
1000,2,30,1,2
1000,1,29,1,2
1000,2,29,1,2
1000,2,25,1,2
1000,2,25,1,2
1000,2,24,1,2
1000,2,30,1,2
1000,1,47,1,2
1000,1,40,1,2
1000,1,37,1,2
1000,2,36,1,2
1000,2,35,1,2
1000,1,30,1,2
1000,1,30,1,2
1000,1,25,1,2
1000,1,36,1,2
1000,1,35,1,2
1000,2,29,1,2
1000,2,24,1,2
1000,1,38,1,2
1000,2,39,1,2
1000,1,38,1,2
1000,2,36,1,2
1020,1,45,2,2
1030,1,31,1,2
1050,1,76,2,2
1050,1,43,2,2
1050,1,35,1,2
1050,2,27,1,2
1050,2,38,1,2
1050,1,36,1,2
1050,1,32,1,2
1050,1,32,1,2
1050,1,30,1,2
1080,1,36,1,2
1090,2,30,1,2
1090,1,30,1,2
1099,2,32,1,2
