preco,tipo,area,quartos,bairro
800,1,50,3,1
800,1,80,3,1
800,4,80,3,1
800,1,50,2,1
800,4,80,2,1
800,1,72,2,1
800,1,60,2,1
800,1,60,2,1
800,4,60,2,1
800,1,58,2,1
800,1,53,2,1
800,1,50,2,1
800,1,50,2,1
800,1,50,2,1
800,4,50,2,1
800,1,50,2,1
800,1,45,2,1
800,1,45,2,1
800,1,62,2,1
800,1,58,2,1
800,1,53,2,1
800,1,52,2,1
800,1,51,2,1
800,4,90,2,1
800,1,59,2,1
800,1,57,2,1
800,1,26,2,1
800,1,60,2,1
800,1,60,2,1
800,1,60,2,1
800,1,60,2,1
800,1,60,2,1
800,1,60,2,1
800,1,75,2,1
800,1,36,2,1
800,1,50,2,1
800,1,55,2,1
800,4,70,2,1
800,4,65,2,1
800,1,50,2,1
800,1,45,2,1
800,2,48,1,1
800,2,37,1,1
800,2,35,1,1
800,2,34,1,1
800,1,32,1,1
800,2,32,1,1
800,2,31,1,1
800,1,30,1,1
800,2,30,1,1
800,2,30,1,1
800,2,30,1,1
800,2,30,1,1
800,2,28,1,1
800,2,28,1,1
800,2,27,1,1
800,2,27,1,1
800,2,25,1,1
800,2,25,1,1
800,2,25,1,1
800,2,25,1,1
800,2,25,1,1
800,2,35,1,1
800,2,33,1,1
800,2,30,1,1
800,2,30,1,1
800,2,30,1,1
800,2,27,1,1
800,2,25,1,1
800,2,25,1,1
800,2,24,1,1
800,2,23,1,1
800,2,28,1,1
800,2,25,1,1
800,2,25,1,1
800,1,33,1,1
800,1,50,1,1
800,2,45,1,1
800,1,37,1,1
800,1,37,1,1
800,1,33,1,1
800,1,34,1,1
800,2,33,1,1
800,2,33,1,1
800,2,30,1,1
800,2,30,1,1
800,2,28,1,1
800,1,24,1,1
800,2,27,1,1
800,1,36,1,1
800,2,35,1,1
800,1,30,1,1
800,1,30,1,1
800,1,30,1,1
800,1,30,1,1
800,1,30,1,1
800,1,30,1,1
800,1,30,1,1
800,1,38,1,1
800,1,40,1,1
800,1,36,1,1
800,1,35,1,1
800,2,33,1,1
800,2,40,1,1
800,2,28,1,1
800,1,56,1,1
800,1,46,1,1
815,1,35,1,1
820,1,43,1,1
820,1,33,1,1
840,1,50,2,1
840,1,52,2,1
840,1,45,1,1
850,1,65,3,1
850,1,57,3,1
850,1,60,3,1
850,4,60,3,1
850,1,70,2,1
850,1,68,2,1
850,1,60,2,1
850,1,50,2,1
850,1,45,2,1
850,1,45,2,1
850,1,40,2,1
850,1,50,2,1
850,1,60,2,1
850,1,59,2,1
850,1,55,2,1
850,1,54,2,1
850,1,50,2,1
850,1,70,2,1
850,1,50,2,1
850,1,60,2,1
850,1,50,2,1
850,1,60,2,1
850,1,55,2,1
850,1,55,2,1
850,1,60,2,1
850,1,44,2,1
850,2,41,1,1
850,2,38,1,1
850,2,38,1,1
850,2,36,1,1
850,1,35,1,1
850,2,32,1,1
850,1,30,1,1
850,1,30,1,1
850,1,30,1,1
850,1,30,1,1
850,1,30,1,1
850,2,30,1,1
850,2,30,1,1
850,2,30,1,1
850,2,30,1,1
850,2,30,1,1
850,1,29,1,1
850,2,29,1,1
850,2,28,1,1
850,2,28,1,1
850,2,27,1,1
850,1,26,1,1
850,2,26,1,1
850,2,26,1,1
850,2,26,1,1
850,2,26,1,1
850,2,26,1,1
850,2,26,1,1
850,2,25,1,1
850,2,25,1,1
850,2,21,1,1
850,2,40,1,1
850,2,35,1,1
850,1,33,1,1
850,1,32,1,1
850,2,30,1,1
850,1,29,1,1
850,2,29,1,1
850,2,28,1,1
850,2,27,1,1
850,2,27,1,1
850,2,27,1,1
850,2,25,1,1
850,2,25,1,1
850,2,25,1,1
850,2,60,1,1
850,2,27,1,1
850,4,97,1,1
850,2,30,1,1
850,1,60,1,1
850,2,38,1,1
850,1,35,1,1
850,1,35,1,1
850,1,35,1,1
850,1,30,1,1
850,1,30,1,1
850,1,37,1,1
850,1,40,1,1
850,1,30,1,1
850,1,30,1,1
850,1,50,1,1
850,1,44,1,1
850,1,42,1,1
850,1,45,1,1
850,1,36,1,1
850,4,50,1,1
850,4,48,1,1
860,2,33,1,1
890,2,25,1,1
890,2,30,1,1
890,2,25,1,1
899,4,70,2,1
900,1,65,3,1
900,1,53,3,1
900,4,80,3,1
900,1,54,2,1
900,1,71,2,1
900,1,70,2,1
900,4,70,2,1
900,4,70,2,1
900,1,65,2,1
900,1,65,2,1
900,1,60,2,1
900,1,60,2,1
900,1,60,2,1
900,1,57,2,1
900,1,45,2,1
900,1,60,2,1
900,1,50,2,1
900,1,48,2,1
900,1,45,2,1
900,4,72,2,1
900,1,70,2,1
900,1,60,2,1
900,1,58,2,1
900,1,50,2,1
900,1,42,2,1
900,1,66,2,1
900,1,55,2,1
900,1,50,2,1
900,1,60,2,1
900,1,50,2,1
900,1,43,2,1
900,1,60,2,1
